type,percent_night,percent_day
횡단중,23.319615912208505,19.400272603362108
추돌,20.301783264746227,15.901862789641072
기타,18.998628257887518,19.445706497046796
공작물충돌,7.475994513031551,6.542480690595184
측면충돌,6.858710562414267,16.537937301226716
차도통행중,6.104252400548696,2.9986369831894595
정면충돌,5.212620027434842,7.769195820081781
전도전복,5.075445816186557,4.634257155838255
길가장자리구역통행중,3.017832647462277,2.7260336210813265
도로이탈 추락,1.7832647462277091,1.7264879600181735
보도통행중,1.02880658436214,1.3630168105406633
도로이탈 기타,0.6858710562414266,0.817810086324398
