ind,gu,width,length,lat,lon
0,价颇备,360,680,37.504965999999996,127.122855
1,价颇备,360,710,37.504428000000004,127.123072
2,价颇备,360,370,37.504042,127.12370700000001
3,价颇备,360,710,37.504153,127.124423
4,价颇备,360,620,37.504571,127.124641
5,价颇备,360,710,37.505065,127.12446299999999
6,价颇备,360,550,37.505607,127.12371499999999
7,价颇备,360,720,37.505438,127.123117
8,碍悼备,360,710,37.550444,127.139031
9,碍悼备,360,710,37.543884999999996,127.13223400000001
10,碍悼备,360,710,37.543501,127.131969
11,碍悼备,360,910,37.545721,127.16475600000001
12,碍悼备,360,900,37.545786,127.16387900000001
13,碍悼备,360,900,37.545819,127.162108
14,碍悼备,360,900,37.545516,127.15940800000001
15,碍悼备,360,900,37.545893,127.15743300000001
16,价颇备,360,470,37.493116,127.14431699999999
17,价颇备,360,600,37.488818,127.121191
18,价颇备,360,460,37.492467,127.119097
19,价颇备,360,570,37.497605,127.11482099999999
20,价颇备,360,570,37.498333,127.114851
21,价颇备,360,740,37.497839,127.113171
22,价颇备,360,810,37.497053,127.113425
23,价颇备,360,730,37.511218,127.127899
24,价颇备,360,730,37.504651,127.12460700000001
25,价颇备,360,700,37.512271999999996,127.128055
26,价颇备,360,600,37.511717,127.12731399999998
27,价颇备,360,540,37.511983,127.07822900000001
28,价颇备,360,730,37.511434,127.078158
29,价颇备,360,330,37.517321,127.112472
30,价颇备,360,450,37.517711,127.112806
31,付器备,360,1100,37.553581,126.923372
32,辑措巩备,360,500,37.591840999999995,126.941629
33,吝备,360,500,37.568419,126.97923600000001
34,吝备,360,700,37.567852,126.97921299999999
35,辑措巩备,360,1000,37.584497999999996,126.94386599999999
36,吝备,360,300,37.556078,126.97320500000001
37,吝备,360,300,37.559508,126.99159099999999
38,吝备,360,600,37.559812,126.99082800000001
39,吝备,360,600,37.559967,126.99046399999999
40,付器备,360,700,37.563814,126.903438
41,付器备,360,700,37.564181,126.90491100000001
42,侩魂备,360,800,37.547734999999996,126.977972
43,侩魂备,360,800,37.548771,126.977694
44,侩魂备,360,800,37.546659000000005,126.978228
45,包厩备,360,880,37.460302,126.919826
46,包厩备,360,530,37.4604789,126.92011399999998
47,包厩备,360,540,37.460316,126.920594
48,包厩备,360,550,37.460547999999996,126.921144
49,包厩备,360,550,37.460846000000004,126.921644
50,包厩备,360,840,37.461356,126.922499
51,包厩备,360,560,37.461601,126.922982
52,包厩备,360,580,37.461865,126.923497
53,包厩备,360,560,37.461942,126.923809
54,包厩备,360,560,37.46167088,126.92414299999999
55,陛玫备,360,650,37.449995,126.92000800000001
56,陛玫备,360,630,37.450385,126.92085800000001
57,陛玫备,360,650,37.449929,126.919274
58,陛玫备,360,650,37.449824,126.918252
59,陛玫备,360,640,37.449841,126.91706200000002
60,陛玫备,360,570,37.450344,126.9145879
61,陛玫备,360,600,37.450196999999996,126.91568400000001
62,陛玫备,360,570,37.450208,126.91538700000001
63,陛玫备,360,640,37.450196999999996,126.915218
64,陛玫备,360,720,37.450039000000004,126.91688740000001
65,康殿器备,360,600,37.498652,126.91348300000001
66,康殿器备,360,600,37.498534,126.91405800000001
67,康殿器备,360,600,37.498638,126.91356019999999
68,康殿器备,360,600,37.498509000000006,126.914076
69,康殿器备,360,510,37.503682,126.895785
70,康殿器备,360,480,37.503781,126.896124
71,包厩备,360,300,37.479317,126.928374
72,畴盔备,360,800,37.628314,127.05856100000001
73,畴盔备,360,800,37.627901,127.059683
74,畴盔备,360,800,37.62599941,127.06009499999999
75,畴盔备,360,800,37.625754,127.05988799999999
76,畴盔备,360,800,37.625637,127.06007199999999
77,己合备,360,450,37.596383,126.9834222
78,己合备,360,700,37.597294,126.98656899999999
79,己合备,360,320,37.597743,126.988879
80,己合备,360,700,37.596436,126.985616
81,己合备,360,700,37.596038,126.98760800000001
82,己合备,360,700,37.595998,126.98794699999999
