ind,count,hurt,die,lat,lon
0,2,2,0,37.58841291,126.9996071
1,2,2,0,37.59550472,127.03573324
2,2,2,0,37.59757144,127.01456358
3,3,3,0,37.61042892,127.05959562
4,2,2,0,37.64812892,127.02442976
5,2,2,1,37.66443684,127.05682802
6,2,3,0,37.48993952,126.8569301
7,2,2,0,37.50392059,126.84583064
8,2,2,0,37.50979654,127.12210103
35,3,3,0,37.5332951,127.00558622
36,4,5,0,37.55863534,127.0327244
37,3,3,0,37.55223187,127.09309471
38,5,5,0,37.54433089,127.10364762
39,3,3,0,37.59809991,127.07693339
40,3,3,0,37.60301599,127.07722343
41,3,3,0,37.6180591,127.08296187
42,4,5,0,37.5991471,127.03391534
43,4,4,0,37.61151842,127.06014079
44,4,4,0,37.64838966,127.02521991
45,3,4,0,37.6267563,127.07519447
46,3,3,0,37.60272758,126.92708927
47,3,3,0,37.54453203,126.93759111
48,4,4,0,37.55749038,126.90302647
49,3,3,0,37.53582399,126.87748987
50,4,4,0,37.53646723,126.86874046
51,4,4,0,37.53051928,126.83731049
52,5,5,0,37.53161252,126.85463906
53,3,4,0,37.49729456,126.84238579
54,3,3,0,37.48796841,126.83782579
55,4,4,0,37.49119353,126.85593766
56,4,4,0,37.46401808,126.90489542
57,4,6,0,37.45112497,126.908656
58,3,3,0,37.50381834,126.90552935
59,3,3,0,37.49894481,126.9351841
60,3,3,0,37.47004126,126.93711663
61,3,3,0,37.47985565,126.95888757
62,3,3,0,37.50946704,127.11013403
63,3,3,0,37.50470486,127.11002397
64,3,3,0,37.49420693,127.15239543
65,4,4,0,37.48841642,127.1283839
66,4,6,0,37.49846475,127.11984243
67,3,3,0,37.54856954,127.15262323
1758,2,2,0,37.56646131,127.07157523
1759,2,2,0,37.58935282,126.94549082
1760,2,2,0,37.49992492,126.88951653
1761,2,3,0,37.48403973,126.89061855
1762,2,2,0,37.50373294,126.96078573
2817,3,3,0,37.57604078,126.9690755
2818,5,5,0,37.56043887,127.01267822
2819,4,5,0,37.55571766,127.01132941
2820,3,3,0,37.5579519,127.08887987
2821,4,5,0,37.56759696,127.07232712
2822,4,4,0,37.59468904,127.06453261
2823,4,4,0,37.60674069,127.09525307
2824,4,4,0,37.60461212,127.01230325
2825,3,3,0,37.59709397,127.012437
2826,3,4,0,37.61691447,127.03021071
2827,3,4,0,37.62392482,127.01860705
2828,3,3,0,37.62808009,127.04083008
2829,4,4,0,37.65060549,127.02657701
2830,3,3,0,37.65719857,127.03789304
2831,4,4,0,37.60148466,126.92872051
2832,3,5,0,37.61911422,126.91533059
2833,3,3,0,37.62165642,126.92643845
2834,5,5,0,37.53341185,126.83629312
2835,4,4,0,37.54259048,126.84673298
2836,3,3,0,37.54102137,126.83997573
2837,4,4,0,37.48886032,126.8902966
2838,3,3,0,37.48889827,126.88371292
2839,4,4,0,37.47613734,126.90347402
2840,4,4,0,37.52937073,126.92937179
2841,3,3,0,37.50764643,126.91111551
2842,3,3,0,37.50410513,126.96081898
2843,3,3,0,37.48309,127.12873048
2844,3,3,0,37.53170516,127.13025527
3364,2,2,0,37.57414934,127.073932
3365,2,2,0,37.64308886,127.03922731
3366,1,7,1,37.67456227,127.06015889
3367,3,3,0,37.62004772,126.91636577
3368,2,2,0,37.6094775,126.91504348
3369,2,2,0,37.52421137,126.86800883
3370,2,2,0,37.49888658,126.94391869
3371,2,2,0,37.50893459,126.93211082
4579,3,3,0,37.53050962,127.06742144
4580,3,3,0,37.57197407,127.07168567
4581,3,3,0,37.57555366,127.07422836
4582,4,4,0,37.59511604,127.10005805
4583,4,4,0,37.64288685,127.03797028
4584,3,4,0,37.65114079,127.07712835
4585,8,8,0,37.61942811,126.91645457
4586,3,3,0,37.60989816,126.91523204
4587,3,4,0,37.52300146,126.87714234
4588,3,4,0,37.53285083,126.8302517
4589,6,7,0,37.53368879,126.83749759
4590,3,3,0,37.54796675,126.83472949
4591,8,8,0,37.48712874,126.88981561
4592,3,3,0,37.45011462,126.9123749
4593,4,4,0,37.53196011,126.90030202
4594,5,7,0,37.49867008,126.94402475
